MaxError,CenterFrameRollRate_RotPot,CenterFrameRoll_LVDT,CylinderPressure,Speed,TiltUp,TiltDown,Condition,InletPress,ChassisPitchRate,ChassisRollAngle,ChassisRollRate,ChassisYawRate,RightFront,LeftFront,RightBack,LeftBack
-68,-0.0999999999999996,0.71875,2101,0.21484375,360,0,0,2742,-0.7109375,-1.63697852113263,1.2109375,-0.96875,1836,1516,1808,1576
-72,-0.199999999999999,0.703125,2089,0.1953125,375,370,0,2758,-0.6875,-1.63754434170905,1.1484375,-0.8671875,1844,1517,1819,1585
-72,-0.199999999999999,0.6953125,2086,0.1953125,375,370,0,2763,-0.7578125,-1.63691824048903,1.15625,-0.9765625,1833,1506,1807,1585
-73,-0.199999999999999,0.65625,2073,0.1953125,375,360,0,2757,-0.6953125,-1.63632184802306,1.125,-0.9296875,1853,1520,1817,1596
-72,-0.199999999999999,0.6796875,2065,0.1953125,383,370,0,2751,-0.828125,-1.63774377660649,1.1640625,-1.0234375,1846,1515,1815,1582
-72,-0.199999999999999,0.75,2062,0.1953125,383,350,0,2761,-0.78125,-1.64144704816364,1.15625,-0.8828125,1841,1518,1814,1582
-68,-0.0999999999999996,0.734375,2057,0.19140625,368,0,0,2757,-0.828125,-1.6423989667872,1.15625,-0.9296875,1844,1520,1817,1581
-68,0,0.7421875,2054,0.19140625,360,0,0,2763,-0.734375,-1.64286958554604,1.125,-0.9296875,1837,1505,1818,1580
-68,0,0.7734375,2057,0.19140625,411,0,0,2763,-0.53125,-1.64216181388028,1.15625,-0.9765625,1824,1504,1802,1564
-71,0.100000000000001,0.75,2058,0.19140625,435,0,0,2758,-0.4296875,-1.64087166646536,1.078125,-0.921875,1826,1501,1801,1560
-82,0.100000000000001,0.7109375,2061,0.19140625,404,0,0,2760,-0.1484375,-1.64163858341234,0.9453125,-0.9140625,1838,1521,1812,1564
-94,0,0.6796875,2156,0.203125,375,0,0,2728,-0.046875,-1.64653967548444,0.921875,-0.875,1845,1526,1807,1562
-8,-0.0999999999999996,0.7578125,2237,0.203125,383,0,0,2785,0.1796875,-1.65255976045343,1.125,-0.9140625,1820,1503,1761,1521
5,-0.199999999999999,0.6796875,2177,0.203125,398,360,0,2810,0.5859375,-1.65475727670985,1.2109375,-0.9296875,1850,1527,1771,1528
75,-0.0999999999999996,0.6953125,2106,0.203125,398,370,0,2791,1.0390625,-1.65295127585285,1.2109375,-0.921875,1864,1549,1763,1516
75,-0.0999999999999996,0.7421875,2058,0.203125,405,430,0,2802,1.3046875,-1.6495054343862,1.28125,-0.9609375,1885,1570,1756,1509
75,-0.0999999999999996,0.734375,2007,0.34375,413,450,0,2804,1.5,-1.64505798256521,1.3046875,-1,1875,1559,1715,1474
8,-0.0999999999999996,0.7421875,1963,0.34375,405,440,0,2793,1.34375,-1.63835188247121,1.4609375,-1.0234375,1930,1598,1725,1493
8,-0.0999999999999996,0.8125,1961,0.34375,398,410,0,2771,1.3359375,-1.62935208535708,1.359375,-1.0234375,1918,1607,1696,1455
8,0,0.78125,2004,0.34375,398,390,0,2773,1.3203125,-1.62116484072476,1.2890625,-0.9375,1968,1651,1702,1459
-2,0.100000000000001,0.875,2043,0.34375,405,350,0,2766,1.1796875,-1.61366217540149,1.4140625,-1.0234375,1968,1660,1685,1443
-83,0.300000000000001,0.8828125,2117,0.71875,405,350,0,2774,1.21875,-1.60373195477882,1.4765625,-0.953125,1976,1661,1666,1422
-96,0.200000000000001,0.828125,2228,0.71875,405,0,0,2779,0.9609375,-1.59131805203678,1.421875,-1,2009,1701,1682,1440
-96,0.200000000000001,0.8359375,2350,0.71875,435,0,0,2578,0.4921875,-1.57902433309864,1.3671875,-0.984375,2016,1717,1673,1427
-96,0.200000000000001,0.8671875,2399,0.71875,443,0,0,2386,0.0859375,-1.5681521558997,1.375,-1.1328125,2031,1723,1667,1431
-146,0.200000000000001,0.8984375,2413,0.71875,450,0,0,2829,-0.1484375,-1.55802923438464,1.4375,-1.1171875,2028,1721,1652,1428
-152,0.200000000000001,0.8984375,2479,1.23828125,450,0,0,2881,-0.5546875,-1.54676057127895,1.515625,-1.2265625,2028,1724,1650,1423
-152,0.200000000000001,0.8671875,2395,1.23828125,458,0,0,3034,-0.9296875,-1.53390801280836,1.4375,-1.234375,2017,1713,1642,1419
